rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
59,top-100-stars,free-for-dev,116119,11876,HTML,https://github.com/ripienaar/free-for-dev,ripienaar,0,2025-12-07T16:13:38Z,"A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev"
60,top-100-stars,free-programming-books-zh_CN,115876,28361,,https://github.com/justjavac/free-programming-books-zh_CN,justjavac,0,2024-07-15T08:55:20Z,:books: 免费的计算机编程类中文书籍，欢迎投稿
61,top-100-stars,node,114638,33978,JavaScript,https://github.com/nodejs/node,nodejs,1731,2025-12-09T01:05:38Z,Node.js JavaScript runtime ✨🐢🚀✨
62,top-100-stars,excalidraw,112079,11790,TypeScript,https://github.com/excalidraw/excalidraw,excalidraw,1990,2025-12-08T09:45:36Z,Virtual whiteboard for sketching hand-drawn like diagrams
63,top-100-stars,d3,111957,22857,Shell,https://github.com/d3/d3,d3,10,2025-12-02T17:48:19Z,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:"
64,top-100-stars,three.js,109729,36145,JavaScript,https://github.com/mrdoob/three.js,mrdoob,452,2025-12-09T02:49:58Z,JavaScript 3D Library.
65,top-100-stars,rust,108356,14096,Rust,https://github.com/rust-lang/rust,rust-lang,10895,2025-12-09T02:48:21Z,Empowering everyone to build reliable and efficient software.
66,top-100-stars,axios,108345,11462,JavaScript,https://github.com/axios/axios,axios,197,2025-12-08T12:19:23Z,Promise based HTTP client for the browser and node.js
67,top-100-stars,TypeScript,107029,13155,TypeScript,https://github.com/microsoft/TypeScript,microsoft,4965,2025-12-08T20:14:40Z,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.
68,top-100-stars,deno,105491,5824,Rust,https://github.com/denoland/deno,denoland,2407,2025-12-09T00:13:35Z,A modern runtime for JavaScript and TypeScript.
69,top-100-stars,iptv,104741,4700,TypeScript,https://github.com/iptv-org/iptv,iptv-org,299,2025-12-09T01:30:52Z,Collection of publicly available IPTV channels from all over the world
70,top-100-stars,nodebestpractices,104650,10649,Dockerfile,https://github.com/goldbergyoni/nodebestpractices,goldbergyoni,46,2025-04-15T21:52:42Z,:white_check_mark:  The Node.js best practices list (July 2024)
71,top-100-stars,GitHub-Chinese-Top-Charts,104302,13409,Java,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,GrowingGit,179,2024-10-12T06:51:36Z,:cn: GitHub中文排行榜，各语言分设「软件 | 资料」榜单，精准定位中文好项目。各取所需，高效学习。
72,top-100-stars,godot,103930,23777,C++,https://github.com/godotengine/godot,godotengine,12622,2025-12-08T18:01:19Z,Godot Engine – Multi-platform 2D and 3D game engine
73,top-100-stars,create-react-app,103912,27176,JavaScript,https://github.com/facebook/create-react-app,facebook,1842,2025-02-15T01:32:11Z,Set up a modern web app by running one command.
74,top-100-stars,rustdesk,103646,15303,Rust,https://github.com/rustdesk/rustdesk,rustdesk,63,2025-12-08T16:07:30Z,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer."
75,top-100-stars,generative-ai-for-beginners,102829,54742,Jupyter Notebook,https://github.com/microsoft/generative-ai-for-beginners,microsoft,5,2025-12-08T03:05:57Z,"21 Lessons, Get Started Building with Generative AI "
76,top-100-stars,Awesome-Hacking,102284,9769,,https://github.com/Hack-with-Github/Awesome-Hacking,Hack-with-Github,0,2025-01-18T01:48:02Z,"A collection of various awesome lists for hackers, pentesters and security researchers"
77,top-100-stars,frp,101485,14696,Go,https://github.com/fatedier/frp,fatedier,38,2025-12-05T08:26:10Z,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.
78,top-100-stars,ui,101453,7373,TypeScript,https://github.com/shadcn-ui/ui,shadcn-ui,982,2025-12-08T21:54:23Z,"A set of beautifully-designed, accessible components and a code distribution platform. Works with your favorite frameworks. Open Source. Open Code."
79,top-100-stars,terminal,101049,8955,C++,https://github.com/microsoft/terminal,microsoft,1637,2025-12-09T00:06:10Z,"The new Windows Terminal and the original Windows console host, all in the same place!"
